Unnamed: 0,FirstName,LastName,StartDate,ExitDate,PositionTitle,Supervisor,ADEmail,Faculty,EmployeeStatus,EmployeeType,TerminationType,DOB,JobFunction,GenderCode,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,StaffType,EmploymentDuration_months,TerminationYear,TerminationMonth,TerminationYearMonth,TenureGroup,EmploymentStatus,StatusValidated,TerminationCategory,VoluntaryTermination,InvoluntaryTermination,ActiveStaff,RetirementCategory,TerminatedStaff,RetainedOver2Years,Total_Survey_Score,PerformanceGroup,EngagementGroup,SatisfactionGroup,Work-Life_BalanceGroup,Total_Survey_Group,Age,JobFunction_LE,PositionTitle_LE,TenureGroup_,Predicted_Terminated,Probability_Terminated
732,Dalton,Bowen,2019-11-22,,Educational Designer,Lucas Morse,dalton.bowen@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1985-03-30,Teaching Support-Educational Designer,Male,3,3665,2023-03-02,5,2,1,Professional,66.76666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,2.6666666666666665,Medium,High,Low,Low,Low,40,78,11,4,0,0.00079235225
733,Dalton,Frazier,2021-05-25,2021-10-22,Executive Assistant,Claudia White,dalton.frazier@bilearner.com,Faculty of Medicine,Voluntarily Terminated,Contract,Voluntary,1946-09-15,Administration-Executive Assistant,Female,4,3718,2022-10-05,1,1,3,Professional,5.0,2021.0,10.0,2021-10,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,1.6666666666666667,High,Low,Low,Medium,Low,78,2,12,1,1,0.9998423
734,Damari,Brewer,2019-09-25,2020-02-07,Manager,Shawn Martin,damari.brewer@bilearner.com,Faculty of Medicine,Active,Full-Time,Voluntary,1977-06-10,MC-Manager,Male,3,3869,2023-01-07,1,4,2,Professional,4.5,2020.0,2.0,2020-02,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,Medium,Low,High,Low,Low,47,41,18,1,1,0.99982303
735,Damarion,Schneider,2019-12-02,2019-12-26,Senior Coordinator,Caitlin Murphy,damarion.schneider@bilearner.com,Faculty of Arts,Future Start,Contract,Involuntary,1956-12-18,MC-Senior Coordinator,Male,3,3990,2022-08-27,2,2,1,Professional,0.8,2019.0,12.0,2019-12,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,1.6666666666666667,Medium,Low,Low,Low,Low,68,42,31,1,1,0.9991708
736,Damaris,Cisneros,2022-09-02,2023-05-24,Research Fellow,Sharon Ruiz,damaris.cisneros@bilearner.com,Faculty of Engineering,Future Start,Contract,Involuntary,1959-11-13,Research Fellow,Male,5,3513,2023-05-11,4,1,3,Academic,8.8,2023.0,5.0,2023-05,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.6666666666666665,High,High,Low,Medium,Low,65,66,25,1,1,0.99942774
737,Damaris,Oneal,2022-11-19,2023-02-15,Professor,Natalie Johnson,damaris.oneal@bilearner.com,Faculty of Engineering,Voluntarily Terminated,Full-Time,Involuntary,1972-07-26,Professor,Male,3,1913,2023-01-21,5,4,2,Academic,2.933333333333333,2023.0,2.0,2023-02,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.6666666666666665,Medium,High,High,Low,Medium,52,45,20,1,1,0.99997234
738,Damian,Burke,2022-10-19,2023-05-03,Lecturer,Regina Bryant MD,damian.burke@bilearner.com,Faculty of Engineering,Future Start,Part-Time,Voluntary,1963-04-28,Lecturer,Female,3,3779,2023-06-18,4,1,1,Academic,6.533333333333333,2023.0,5.0,2023-05,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.0,Medium,High,Low,Low,Low,62,37,16,1,1,0.9992549
739,Damien,Howe,2019-07-18,2020-01-15,Senior Officer,Sarah Petersen,damien.howe@bilearner.com,Faculty of Medicine,Active,Full-Time,Retirement,1961-06-16,Administration-Senior Officer,Male,2,3556,2023-06-11,2,2,3,Professional,6.033333333333333,2020.0,1.0,2020-01,<1yr,Terminated,Terminated,Retirement,0,0,0,1,1,0,2.333333333333333,Low,Low,Low,Medium,Low,63,7,34,1,1,0.9999294
740,Dana,Stevenson,2021-01-10,,Research Fellow,Thomas Bautista,dana.stevenson@bilearner.com,Faculty of Medicine,Active,Part-Time,Unk,1993-06-05,Research Fellow,Male,5,3119,2022-12-23,4,5,2,Academic,52.93333333333333,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,High,High,High,Low,Medium,31,66,25,3,0,0.01748558
741,Dane,Barton,2021-04-16,,Senior Research Fellow,Christopher Norris,dane.barton@bilearner.com,Faculty of Engineering,Active,Part-Time,Unk,1997-08-07,Senior Research Fellow,Male,3,1306,2022-11-12,1,3,5,Academic,49.73333333333333,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.0,Medium,Low,Medium,High,Medium,27,68,35,3,0,0.025510255
742,Dane,Kelly,2023-05-31,,Assistant Lecturer,Edwin Guerrero,dane.kelly@bilearner.com,Faculty of Engineering,Active,Part-Time,Unk,1999-06-04,Assistant Lecturer,Female,3,1209,2023-05-28,1,3,1,Academic,23.9,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,0,1.6666666666666667,Medium,Low,Medium,Low,Low,25,8,5,2,0,0.021896252
743,Dane,Owens,2019-07-19,2022-08-08,Research Fellow,Christina Young,dane.owens@bilearner.com,Faculty of Arts,Active,Full-Time,Involuntary,1974-11-01,Research Fellow,Male,2,2857,2022-12-24,5,2,5,Academic,37.2,2022.0,8.0,2022-08,3-5yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,4.0,Low,High,Low,High,High,50,66,25,3,1,0.92948306
744,Dangelo,Gould,2022-07-20,2023-04-26,Research Fellow,Daniel Mason,dangelo.gould@bilearner.com,Faculty of Medicine,Active,Full-Time,Voluntary,1988-01-24,Research Fellow,Female,3,1439,2022-11-29,3,1,3,Academic,9.333333333333334,2023.0,4.0,2023-04,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,Medium,Medium,Low,Medium,Low,37,66,25,1,1,0.9993963
745,Dania,Hale,2022-05-09,2022-06-10,Officer,Matthew York,dania.hale@bilearner.com,Faculty of Medicine,Voluntarily Terminated,Full-Time,Resignation,1946-11-25,RTS-Officer,Male,2,3259,2022-11-07,5,2,1,Professional,1.0666666666666669,2022.0,6.0,2022-06,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.6666666666666665,Low,High,Low,Low,Low,78,51,19,1,1,0.99991393
746,Daniel,Davis,2021-04-24,,Lecturer,Jennifer Baker,daniel.davis@bilearner.com,Faculty of Engineering,Active,Contract,Unk,1983-03-17,Lecturer,Male,5,3209,2023-01-13,3,3,1,Academic,49.46666666666667,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.333333333333333,High,Medium,Medium,Low,Low,42,37,16,3,0,0.14525051
747,Daniel,Frye,2023-04-26,2023-05-30,Assistant Lecturer,Ronald Shepherd DDS,daniel.frye@bilearner.com,Faculty of Medicine,Active,Full-Time,Involuntary,1986-02-15,Assistant Lecturer,Female,1,3072,2022-11-01,2,4,1,Academic,1.1333333333333333,2023.0,5.0,2023-05,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.333333333333333,Low,Low,High,Low,Low,39,8,5,1,1,0.9991442
748,Daniel,Griffin,2020-09-19,2023-02-20,Lecturer,Evelyn Diaz,daniel.griffin@bilearner.com,Faculty of Engineering,Voluntarily Terminated,Full-Time,Retirement,1943-09-18,Lecturer,Female,3,1287,2023-07-30,3,5,2,Academic,29.466666666666665,2023.0,2.0,2023-02,1-3yrs,Terminated,Terminated,Retirement,0,0,0,1,1,0,3.333333333333333,Medium,Medium,High,Low,Medium,81,37,16,2,1,0.8105655
749,Danielle,Blanchard,2022-12-07,2023-06-08,Assistant Lecturer,Natalie Hogan,danielle.blanchard@bilearner.com,Faculty of Medicine,Voluntarily Terminated,Full-Time,Resignation,1997-03-18,Assistant Lecturer,Female,5,3164,2022-10-02,4,2,3,Academic,6.1,2023.0,6.0,2023-06,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,High,High,Low,Medium,Medium,28,8,5,1,1,0.9985342
750,Daniff,Hernandez,2022-11-04,,Research Fellow,Christina Williams,daniff.hernandez@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1944-09-13,Research Fellow,Male,3,3937,2022-11-21,1,3,1,Academic,30.83333333333333,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,1.6666666666666667,Medium,Low,Medium,Low,Low,80,66,25,2,0,0.1745622
751,Danika,Deleon,2022-11-05,,Officer,Karen York,danika.deleon@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1998-05-23,RTS-Officer,Male,3,3825,2022-12-22,4,4,2,Professional,30.8,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Medium,High,High,Low,Medium,27,51,19,2,0,0.07740347
752,Danika,Fleming,2020-07-09,2021-07-10,Research Fellow,Christopher Ayers,danika.fleming@bilearner.com,Faculty of Engineering,Active,Part-Time,Resignation,1995-10-16,Research Fellow,Female,3,3622,2023-07-26,3,1,5,Academic,12.2,2021.0,7.0,2021-07,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,Medium,Medium,Low,High,Medium,29,66,25,2,1,0.99972326
753,Danna,Hines,2021-06-04,,Officer,Jamie Ray,danna.hines@bilearner.com,Faculty of Engineering,Active,Contract,Unk,1950-12-29,Administration-Officer,Female,3,1420,2023-06-12,1,2,4,Professional,48.1,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.333333333333333,Medium,Low,Low,High,Low,74,5,19,3,0,0.05207539
754,Danna,Rollins,2021-11-14,,Research Fellow,Lauren Wilson,danna.rollins@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1948-07-20,Research Fellow,Male,3,1897,2022-09-05,2,4,5,Academic,42.66666666666666,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,Medium,Low,High,High,Medium,76,66,25,3,0,0.029967671
755,Danny,Thomas,2020-02-02,,Research Fellow,Robert Wolfe,danny.thomas@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1973-04-08,Research Fellow,Male,4,2383,2022-11-21,5,3,5,Academic,64.36666666666666,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,4.333333333333333,High,High,Medium,High,High,52,66,25,4,0,0.0001244378
756,Dante,Strong,2023-03-20,2023-06-21,Senior Lecturer,Ronald Jones,dante.strong@bilearner.com,Faculty of Medicine,Active,Part-Time,Voluntary,1988-06-12,Senior Lecturer,Female,3,1356,2022-08-14,1,1,1,Academic,3.1,2023.0,6.0,2023-06,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,1.0,Medium,Low,Low,Low,Low,36,67,32,1,1,0.99928087
757,Dante,Wyatt,2019-03-01,2021-09-25,Research Fellow,Dr. Eric Henderson,dante.wyatt@bilearner.com,Faculty of Engineering,Leave of Absence,Part-Time,Retirement,1987-09-10,Research Fellow,Female,3,3852,2023-05-30,5,2,4,Academic,31.3,2021.0,9.0,2021-09,1-3yrs,Terminated,Terminated,Retirement,0,0,0,1,1,0,3.6666666666666665,Medium,High,Low,High,Medium,37,66,25,2,1,0.67690647
758,Darian,Hansen,2021-08-20,2021-10-09,Lecturer,Victoria Padilla,darian.hansen@bilearner.com,Faculty of Medicine,Active,Full-Time,Retirement,1972-05-26,Lecturer,Male,4,2737,2022-09-20,5,5,3,Academic,1.6666666666666667,2021.0,10.0,2021-10,<1yr,Terminated,Terminated,Retirement,0,0,0,1,1,0,4.333333333333333,High,High,High,Medium,High,53,37,16,1,1,0.9996666
759,Darian,Potts,2020-08-17,,Officer,Ms. Diane Bradshaw DVM,darian.potts@bilearner.com,Faculty of Medicine,Active,Part-Time,Unk,1968-09-20,Finance-Officer,Female,3,1120,2023-06-05,3,3,4,Professional,57.8,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Medium,Medium,Medium,High,Medium,56,19,19,3,0,0.015907787
760,Darian,Wall,2020-05-05,2023-07-25,Senior Lecturer,Veronica Murphy,darian.wall@bilearner.com,Faculty of Arts,Active,Full-Time,Voluntary,1947-12-26,Senior Lecturer,Female,3,1888,2023-07-23,1,5,1,Academic,39.2,2023.0,7.0,2023-07,3-5yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,Medium,Low,High,Low,Low,77,67,32,3,1,0.92393
761,Darien,Doyle,2019-04-06,,Assistant Lecturer,David Ball,darien.doyle@bilearner.com,Faculty of Engineering,Active,Contract,Unk,1961-10-14,Assistant Lecturer,Male,5,2841,2022-10-10,2,2,2,Academic,74.43333333333334,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,2.0,High,Low,Low,Low,Low,63,8,5,4,0,0.0006980384
762,Darien,Sawyer,2022-09-18,2023-06-07,Officer,James Bradley,darien.sawyer@bilearner.com,Faculty of Engineering,Active,Full-Time,Involuntary,1951-07-24,RTS-Officer,Female,2,2537,2023-07-26,4,5,4,Professional,8.733333333333333,2023.0,6.0,2023-06,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,4.333333333333333,Low,High,High,High,High,73,51,19,1,1,0.9998989
763,Darien,Young,2021-03-03,,Assistant Lecturer,Maria Hale,darien.young@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1998-04-09,Assistant Lecturer,Female,2,2631,2023-01-08,5,1,4,Academic,51.2,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Low,High,Low,High,Medium,27,8,5,3,0,0.00035601412
764,Darien,Young,2022-11-09,2023-01-10,Lecturer,Christopher Reid,darien.young@bilearner.com,Faculty of Medicine,Terminated for Cause,Full-Time,Resignation,1945-09-23,Lecturer,Female,5,2401,2022-12-23,1,1,3,Academic,2.066666666666667,2023.0,1.0,2023-01,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,1.6666666666666667,High,Low,Low,Medium,Low,79,37,16,1,1,0.9999193
765,Dario,Shaw,2023-05-28,,Officer,Stephanie Kerr,dario.shaw@bilearner.com,Faculty of Arts,Active,Contract,Unk,1942-08-07,Administration-Officer,Female,3,1940,2022-08-20,3,4,5,Professional,24.0,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,0,4.0,Medium,Medium,High,High,High,82,5,19,2,0,0.07736469
766,Dario,Whitney,2023-03-10,2023-04-04,Associate Professor,Sean Hill,dario.whitney@bilearner.com,Faculty of Engineering,Active,Full-Time,Retirement,1962-12-11,Associate Professor,Male,5,2239,2022-12-31,1,3,4,Academic,0.8333333333333334,2023.0,4.0,2023-04,<1yr,Terminated,Terminated,Retirement,0,0,0,1,1,0,2.6666666666666665,High,Low,Medium,High,Low,62,9,6,1,1,0.9992524
767,Darius,Duke,2021-01-26,2021-08-06,Officer,Mary Morgan,darius.duke@bilearner.com,Faculty of Engineering,Voluntarily Terminated,Full-Time,Retirement,1948-08-03,RTS-Officer,Female,3,1920,2022-09-23,2,5,3,Professional,6.4,2021.0,8.0,2021-08,<1yr,Terminated,Terminated,Retirement,0,0,0,1,1,0,3.333333333333333,Medium,Low,High,Medium,Medium,76,51,19,1,1,0.99998116
768,Darius,Koch,2019-02-15,,Manager,Veronica Alexander MD,darius.koch@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1998-10-23,RTS-Manager,Female,3,1264,2023-04-21,3,5,4,Professional,76.1,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,4.0,Medium,Medium,High,High,High,26,50,18,4,0,0.0002189768
769,Darius,Krause,2022-09-15,,Assistant Lecturer,Paige Flores MD,darius.krause@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1948-05-30,Assistant Lecturer,Male,4,3526,2023-01-28,1,5,3,Academic,32.5,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,3.0,High,Low,High,Medium,Medium,77,8,5,2,0,0.015187593
770,Darnell,Eaton,2020-01-24,2022-09-14,Senior Officer,Jason Kennedy,darnell.eaton@bilearner.com,Faculty of Medicine,Active,Contract,Voluntary,1984-06-06,Administration-Senior Officer,Female,3,2012,2023-07-26,2,3,2,Professional,32.13333333333333,2022.0,9.0,2022-09,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,Medium,Low,Medium,Low,Low,40,7,34,2,1,0.9264568
771,Darnell,Ritter,2022-02-11,,Research Fellow,Daniel Thomas,darnell.ritter@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1980-03-08,Research Fellow,Female,3,1814,2023-04-15,3,3,1,Academic,39.7,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.333333333333333,Medium,Medium,Medium,Low,Low,45,66,25,3,0,0.049710732
772,Darnell,Shelton,2019-11-25,2021-01-28,Research Fellow,Alec Phillips,darnell.shelton@bilearner.com,Faculty of Arts,Active,Contract,Voluntary,1995-02-18,Research Fellow,Female,2,3386,2023-01-01,2,1,5,Academic,14.333333333333334,2021.0,1.0,2021-01,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.6666666666666665,Low,Low,Low,High,Low,30,66,25,2,1,0.9996903
773,Darrell,Horne,2022-09-14,,Senior Research Officer,Christina Baldwin,darrell.horne@bilearner.com,Faculty of Engineering,Active,Contract,Unk,1992-02-20,RTS-Senior Research Officer,Female,3,2044,2022-11-14,5,1,5,Professional,32.53333333333333,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,Medium,High,Low,High,Medium,33,60,36,2,0,0.09967126
774,Darrell,Vaughan,2018-09-12,2020-07-11,Senior Officer,Elizabeth Ray,darrell.vaughan@bilearner.com,Faculty of Medicine,Active,Part-Time,Involuntary,1991-10-08,Student Recruitment-Senior Officer,Female,1,2136,2023-02-18,2,2,2,Professional,22.266666666666666,2020.0,7.0,2020-07,1-3yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.0,Low,Low,Low,Low,Low,33,72,34,2,1,0.9559592
775,Darrell,Zamora,2021-11-26,2022-05-24,Senior Officer,Jeremiah Smith,darrell.zamora@bilearner.com,Faculty of Engineering,Voluntarily Terminated,Part-Time,Retirement,1964-09-27,RTS-Senior Officer,Male,3,1224,2023-05-20,4,2,3,Professional,5.966666666666667,2022.0,5.0,2022-05,<1yr,Terminated,Terminated,Retirement,0,0,0,1,1,0,3.0,Medium,High,Low,Medium,Medium,60,59,34,1,1,0.99993885
776,Darryl,Ponce,2023-01-02,2023-06-18,Lecturer,Elizabeth Scott,darryl.ponce@bilearner.com,Faculty of Engineering,Active,Contract,Resignation,1991-02-23,Lecturer,Female,5,3355,2023-07-08,1,3,3,Academic,5.566666666666666,2023.0,6.0,2023-06,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,High,Low,Medium,Medium,Low,34,37,16,1,1,0.99961543
777,Darryl,Richmond,2022-08-29,2023-01-15,Research Fellow,Daniel Simpson,darryl.richmond@bilearner.com,Faculty of Arts,Active,Part-Time,Retirement,1987-04-04,Research Fellow,Female,2,2272,2022-08-05,5,5,3,Academic,4.633333333333334,2023.0,1.0,2023-01,<1yr,Terminated,Terminated,Retirement,0,0,0,1,1,0,4.333333333333333,Low,High,High,Medium,High,38,66,25,1,1,0.99908745
778,Darryl,Wiley,2020-04-22,2022-08-03,Officer,Edwin Freeman,darryl.wiley@bilearner.com,Faculty of Medicine,Active,Contract,Retirement,1976-08-30,Administration-Officer,Male,1,2433,2022-08-05,1,5,3,Professional,27.766666666666666,2022.0,8.0,2022-08,1-3yrs,Terminated,Terminated,Retirement,0,0,0,1,1,0,3.0,Low,Low,High,Medium,Medium,48,5,19,2,0,0.44747394
779,Darwin,Allen,2023-03-17,2023-06-12,Senior Officer,Michael Young,darwin.allen@bilearner.com,Faculty of Arts,Active,Part-Time,Involuntary,1994-05-17,Student Services-Senior Officer,Male,3,3856,2023-01-17,5,1,4,Professional,2.9,2023.0,6.0,2023-06,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.333333333333333,Medium,High,Low,High,Medium,31,77,34,1,1,0.999806
780,Dashawn,Ramirez,2022-12-13,2023-01-11,Officer,Eric Riley Jr.,dashawn.ramirez@bilearner.com,Faculty of Engineering,Active,Contract,Resignation,1962-04-08,Administration-Officer,Female,3,3187,2023-01-02,4,2,2,Professional,0.9666666666666668,2023.0,1.0,2023-01,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.6666666666666665,Medium,High,Low,Low,Low,63,5,19,1,1,0.99959713
781,Davian,Davis,2022-02-01,,Senior Technical Officer,Rodney Robinson,davian.davis@bilearner.com,Faculty of Arts,Active,Contract,Unk,1996-01-05,RTS-Senior Technical Officer,Male,5,2733,2023-04-03,3,4,1,Professional,40.03333333333333,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.6666666666666665,High,Medium,High,Low,Low,29,62,41,3,0,0.018906318
782,David,Gordon,2018-11-30,,Research Officer,Sarah Mcdonald,david.gordon@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,2001-06-03,RTS-Research Officer,Male,3,1743,2023-04-20,4,1,5,Professional,78.66666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Medium,High,Low,High,Medium,23,54,26,4,0,0.0001343434
783,David,Kirk,2018-12-10,,Senior Lecturer,Kathryn Kidd DVM,david.kirk@bilearner.com,Faculty of Medicine,Active,Part-Time,Unk,1948-03-10,Senior Lecturer,Female,2,2729,2023-02-24,3,5,1,Academic,78.33333333333333,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.0,Low,Medium,High,Low,Medium,77,67,32,4,0,0.0003804258
784,David,Stanley,2020-06-15,2021-09-05,Research Fellow,Richard Collins,david.stanley@bilearner.com,Faculty of Medicine,Active,Contract,Involuntary,1998-04-01,Research Fellow,Male,2,2293,2023-06-19,5,3,1,Academic,14.9,2021.0,9.0,2021-09,1-3yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.0,Low,High,Medium,Low,Medium,27,66,25,2,1,0.99946886
785,David,Velez,2020-01-27,,Lecturer,Michael Torres,david.velez@bilearner.com,Faculty of Medicine,Active,Part-Time,Unk,1952-12-31,Lecturer,Female,3,1229,2023-05-20,4,2,5,Academic,64.56666666666666,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,Medium,High,Low,High,Medium,72,37,16,4,0,0.00029351635
786,Davin,Peters,2022-04-29,2023-01-21,Research Fellow,Melissa Shaw,davin.peters@bilearner.com,Faculty of Arts,Active,Full-Time,Involuntary,1956-05-19,Research Fellow,Male,3,3666,2023-04-26,5,2,1,Academic,8.9,2023.0,1.0,2023-01,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.6666666666666665,Medium,High,Low,Low,Low,69,66,25,1,1,0.9997141
787,Davin,Wade,2023-05-06,,Technical Officer,Heidi Williams,davin.wade@bilearner.com,Faculty of Arts,Active,Full-Time,Unk,2000-02-03,RTS-Technical Officer,Male,4,2819,2022-12-31,2,3,4,Professional,24.73333333333333,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,3.0,High,Low,Medium,High,Medium,25,64,44,2,0,0.07253513
788,Davion,Friedman,2023-07-17,2023-07-28,Research Fellow,Mark Wood,davion.friedman@bilearner.com,Faculty of Arts,Active,Part-Time,Involuntary,1943-12-10,Research Fellow,Male,1,2382,2022-11-19,4,3,4,Academic,0.3666666666666666,2023.0,7.0,2023-07,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.6666666666666665,Low,High,Medium,High,Medium,81,66,25,1,1,0.99896574
789,Davion,Hahn,2019-07-08,2022-08-16,Assistant Lecturer,Angela Bailey,davion.hahn@bilearner.com,Faculty of Arts,Active,Contract,Resignation,1959-06-11,Assistant Lecturer,Female,5,2398,2023-01-07,4,3,3,Academic,37.833333333333336,2022.0,8.0,2022-08,3-5yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.333333333333333,High,High,Medium,Medium,Medium,65,8,5,3,1,0.9827863
790,Davion,Sanchez,2019-12-16,,Assistant Lecturer,Kathryn Wilkinson,davion.sanchez@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1942-04-21,Assistant Lecturer,Male,4,3580,2022-10-21,2,4,3,Academic,65.96666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.0,High,Low,High,Medium,Medium,83,8,5,4,0,6.7177454e-05
791,Davion,Vasquez,2019-09-20,,Senior Lecturer,Jo Ruiz,davion.vasquez@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1964-06-17,Senior Lecturer,Female,2,2557,2022-09-04,1,3,1,Academic,68.86666666666666,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,1.6666666666666667,Low,Low,Medium,Low,Low,60,67,32,4,0,7.4372954e-05
792,Davis,Roberts,2020-04-14,2021-09-10,Research Fellow,Brian Hudson,davis.roberts@bilearner.com,Faculty of Medicine,Voluntarily Terminated,Part-Time,Resignation,1941-10-20,Research Fellow,Female,3,1153,2023-02-28,3,4,2,Academic,17.133333333333333,2021.0,9.0,2021-09,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,Medium,Medium,High,Low,Medium,83,66,25,2,1,0.99914944
793,Dawn,Motlagh,2019-01-29,,Technical Officer,Molly Freeman,dawn.motlagh@bilearner.com,Faculty of Engineering,Active,Part-Time,Unk,1994-12-11,RTS-Technical Officer,Female,3,1967,2023-02-26,4,2,4,Professional,76.66666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Medium,High,Low,High,Medium,30,64,44,4,0,0.00087323657
794,Dawson,Pollard,2023-02-03,2023-04-16,Lecturer,Crystal Garcia,dawson.pollard@bilearner.com,Faculty of Engineering,Active,Full-Time,Resignation,1959-11-02,Lecturer,Male,3,1675,2023-01-25,4,1,4,Academic,2.4,2023.0,4.0,2023-04,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,Medium,High,Low,High,Medium,65,37,16,1,1,0.9994898
795,Dawson,Pratt,2021-02-08,2022-07-15,Senior Research Fellow,Natalie Shaffer,dawson.pratt@bilearner.com,Faculty of Arts,Active,Full-Time,Involuntary,1971-05-27,Senior Research Fellow,Female,3,1272,2022-10-31,4,2,3,Academic,17.4,2022.0,7.0,2022-07,1-3yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.0,Medium,High,Low,Medium,Medium,54,68,35,2,1,0.99820685
796,Dayami,Bailey,2022-10-01,,Research Officer,Matthew Hughes,dayami.bailey@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1960-02-04,RTS-Research Officer,Male,3,3677,2023-07-25,3,5,5,Professional,31.966666666666665,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,4.333333333333333,Medium,Medium,High,High,High,65,54,26,2,0,0.12007087
797,Dayana,Gregory,2020-03-26,2021-10-08,Professor,Rodney Burch,dayana.gregory@bilearner.com,Faculty of Engineering,Active,Part-Time,Resignation,1958-01-04,Professor,Female,2,3053,2023-02-03,2,1,3,Academic,18.7,2021.0,10.0,2021-10,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.0,Low,Low,Low,Medium,Low,67,45,20,2,1,0.9999081
